age,height,haircolor,hair,eyecolor,gender,beard,body,worth
21,185,brown,short,brown,male,large,muscle,68
56,153,grey,long,brown,male,small,muscle,35
24,187,red,short,brown,male,large,normal,53
38,209,brown,long,blue,male,none,normal,44
63,145,red,short,grey,male,middle,normal,25
20,188,red,short,grey,male,none,chubby,51
66,210,grey,long,grey,male,none,chubby,19
59,209,blonde,short,green,male,large,muscle,54
60,189,black,middle,grey,male,none,muscle,31
32,143,brown,short,green,male,none,chubby,46
67,195,grey,middle,green,male,middle,muscle,35
42,145,black,middle,blue,male,middle,normal,54
70,188,red,middle,blue,male,small,chubby,23
49,179,brown,long,grey,male,small,normal,45
41,193,blonde,long,green,male,middle,normal,53
44,193,black,short,grey,male,large,chubby,49
25,218,blonde,short,blue,male,middle,normal,65
24,202,grey,long,grey,male,small,chubby,36
46,191,red,long,blue,male,small,normal,35
33,154,brown,long,grey,male,small,normal,39
53,187,black,middle,brown,male,small,normal,42
25,193,blonde,short,grey,male,none,muscle,66
56,218,blonde,middle,grey,male,middle,muscle,54
70,211,red,short,brown,male,none,normal,21
30,216,blonde,long,grey,male,none,chubby,42
21,174,red,middle,grey,male,none,normal,61
63,195,brown,short,brown,male,small,normal,26
66,220,black,short,blue,male,large,normal,29
59,198,blonde,long,blue,male,middle,muscle,50
64,150,grey,long,brown,male,large,normal,23
20,150,black,middle,green,male,small,chubby,52
45,155,blonde,short,grey,male,large,normal,55
26,145,black,long,grey,male,middle,normal,50
39,206,black,short,green,male,small,muscle,46
23,215,black,short,blue,male,small,chubby,48
42,181,blonde,short,brown,male,none,chubby,51
19,193,red,middle,green,male,none,muscle,60
31,206,grey,middle,brown,male,small,chubby,35
19,142,red,middle,brown,male,middle,chubby,47
27,210,black,long,blue,male,none,muscle,52
26,172,grey,middle,grey,male,large,normal,65
27,179,red,long,green,male,small,chubby,44
39,220,red,short,brown,male,middle,muscle,45
52,193,brown,long,blue,male,middle,chubby,47
16,216,red,short,brown,male,small,normal,38
22,189,red,middle,brown,male,middle,chubby,53
52,199,red,middle,blue,male,middle,muscle,48
58,212,red,short,brown,male,none,normal,35
57,149,red,middle,green,male,small,normal,35
17,217,blonde,middle,blue,male,small,normal,64
54,193,blonde,short,brown,male,small,muscle,49
19,169,brown,middle,green,male,middle,muscle,75
30,157,grey,short,brown,male,none,normal,52
38,201,black,short,grey,male,middle,normal,50
45,152,brown,long,brown,male,small,chubby,32
33,140,red,middle,brown,male,large,chubby,36
32,218,grey,long,brown,male,middle,normal,40
19,205,blonde,short,blue,male,middle,muscle,70
26,151,black,long,blue,male,none,chubby,49
24,147,black,middle,brown,male,none,normal,52
14,141,blonde,long,blue,male,middle,chubby,47
42,216,brown,middle,blue,male,small,muscle,49
20,154,black,long,blue,male,none,normal,55
65,170,blonde,middle,brown,male,none,normal,33
61,202,black,middle,brown,male,large,muscle,28
31,209,grey,long,blue,male,small,chubby,33
40,168,black,long,blue,male,middle,muscle,58
24,166,brown,middle,brown,male,small,normal,57
43,157,grey,short,brown,male,small,muscle,45
28,184,grey,long,brown,male,small,normal,43
61,217,black,long,grey,male,small,normal,18
39,218,brown,middle,green,male,middle,normal,54
43,174,brown,middle,grey,male,small,muscle,57
28,141,red,long,blue,male,middle,normal,44
27,191,black,short,brown,male,none,chubby,53
32,159,grey,long,grey,male,small,chubby,33
46,169,black,long,brown,male,small,chubby,34
26,148,blonde,long,blue,male,middle,chubby,54
30,183,red,long,brown,male,small,normal,37
32,172,red,middle,grey,male,none,normal,50
49,206,black,short,brown,male,large,normal,44
20,152,black,long,green,male,none,normal,53
50,171,grey,short,brown,male,small,muscle,50
22,216,black,middle,brown,male,small,normal,48
50,201,brown,long,green,male,small,normal,35
26,200,brown,short,brown,male,middle,normal,57
41,169,blonde,long,green,male,middle,muscle,59
39,207,red,long,green,male,none,muscle,37
25,174,black,middle,blue,male,middle,normal,73
70,153,red,short,blue,male,large,chubby,26
27,177,black,middle,grey,male,middle,chubby,65
68,195,grey,short,blue,male,small,muscle,31
19,158,blonde,short,green,male,small,muscle,63
20,207,red,short,blue,male,large,muscle,58
37,197,red,middle,blue,male,large,normal,46
52,141,brown,long,blue,male,none,muscle,44
36,179,red,short,grey,male,none,muscle,55
36,197,black,middle,green,male,middle,normal,52
22,148,red,middle,brown,male,large,normal,50
60,197,grey,middle,brown,male,middle,normal,27
52,194,blonde,short,green,male,none,normal,55
53,197,black,middle,green,male,none,muscle,48
56,142,blonde,long,grey,male,large,normal,41
42,220,black,long,brown,male,middle,normal,39
67,158,red,long,blue,male,middle,normal,25
69,146,red,long,grey,male,middle,normal,20
47,170,red,middle,blue,male,large,chubby,50
38,179,brown,short,grey,male,middle,muscle,67
25,214,black,long,blue,male,none,chubby,45
14,158,blonde,middle,brown,male,small,muscle,51
68,216,blonde,long,brown,male,small,chubby,17
46,155,black,long,grey,male,large,normal,42
27,140,brown,short,blue,male,none,normal,59
18,205,red,middle,grey,male,none,normal,49
60,203,blonde,long,green,male,none,muscle,26
42,154,red,long,green,male,middle,normal,41
19,157,black,middle,brown,male,middle,muscle,64
39,148,blonde,middle,blue,male,large,muscle,70
16,174,red,long,blue,male,middle,normal,57
44,168,blonde,long,grey,male,middle,chubby,50
19,186,blonde,short,brown,male,large,normal,65
53,219,grey,middle,brown,male,large,normal,43
15,196,grey,long,blue,male,middle,chubby,45
56,180,black,long,green,male,none,muscle,52
58,158,grey,long,grey,male,large,muscle,44
26,169,grey,long,green,male,small,muscle,54
54,150,blonde,long,grey,male,middle,muscle,50
53,171,blonde,middle,blue,male,large,normal,73
36,161,grey,short,blue,male,small,muscle,52
23,140,black,middle,brown,male,middle,normal,55
22,179,black,short,green,male,none,muscle,72
67,215,red,short,green,male,large,normal,25
58,200,black,long,grey,male,none,muscle,38
27,209,grey,short,grey,male,small,normal,48
36,140,red,short,grey,male,large,normal,42
38,215,grey,long,brown,male,middle,chubby,36
37,155,blonde,short,brown,male,none,normal,52
45,163,red,middle,blue,male,small,chubby,38
43,148,blonde,middle,blue,male,large,normal,66
67,152,black,middle,blue,male,none,normal,31
18,186,black,short,grey,male,large,muscle,66
66,199,blonde,middle,brown,male,middle,muscle,31
56,144,blonde,long,grey,male,none,normal,39
47,140,red,middle,green,male,large,normal,42
18,144,blonde,long,grey,male,large,normal,53
23,216,blonde,short,brown,male,large,normal,57
54,175,grey,short,blue,male,middle,muscle,66
40,186,red,long,green,male,large,chubby,38
21,165,brown,short,brown,male,middle,chubby,64
17,144,brown,long,brown,male,none,muscle,46
24,179,brown,short,green,male,none,normal,69
22,158,black,long,brown,male,small,normal,44
